index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
1290,Sabaton,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,Father,Weapons Of The Modern Age,single,spotify:track:6pPCkAzVYapjObH73BWu9t,0.47,0.904,0.0,-7.018,0.0535,0.0528,0.00151,0.226,0.373,77.021,278093.0,6716080.0,2022-09-30 06:30:02,129,2022-09-30
1293,Sabaton,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,Soldier of Heaven,The War to End All Wars,album,spotify:track:2c03eSv5IkwbDty49pKg1L,0.54,0.922,9.0,-8.346,0.0465,0.0271,1.31e-05,0.193,0.564,96.032,218000.0,22653657.0,2022-01-07 17:00:12,395,2022-03-04
1318,Tears For Fears,https://open.spotify.com/artist/4bthk9UfsYUYdcFyqxmSUU,Everybody Wants To Rule The World - Sped Up Version,Everybody Wants To Rule The World (Sped Up Version),single,spotify:track:6MRD4fDXBbqa0xodmaFk8Q,0.36,0.887,1.0,-7.109,0.045,0.188,0.00982,0.0809,0.58,129.646,183635.0,4864986.0,2022-08-11 16:07:59,179,2022-08-12
1381,The Game,https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI,Eazy (Feat. Kanye West),DRILLMATIC Heart vs. Mind,album,spotify:track:7CbHgNrlybV0uyP1wJINDd,0.568,0.547,1.0,-6.985,0.547,0.172,0.0,0.209,0.318,82.635,233094.0,83538834.0,2022-03-03 22:06:08,340,2022-08-12
1388,The Beach Boys,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),album,spotify:track:6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6.0,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072,173040.0,217896060.0,2022-09-17 16:00:12,142,1966-06-16
1390,The Beach Boys,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,Don't Worry Baby - Remastered 2001,"Shut Down, Vol. 2 (Remastered)",album,spotify:track:1GLmaPfulP0BrfijohQpN5,0.487,0.464,4.0,-9.821,0.03,0.0666,0.00531,0.105,0.851,121.242,169933.0,98187982.0,2022-09-10 16:00:09,149,1964-03-02
1391,The Beach Boys,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,California Dreamin' - 2007 Digital Remaster,The Warmth Of The Sun,compilation,spotify:track:4MHzXgBy7hexDe2Bto11hP,0.582,0.845,1.0,-7.335,0.0447,0.0529,1.44e-06,0.0752,0.624,116.453,204373.0,36297624.0,2022-07-13 16:00:07,208,2007-01-01
1392,The Beach Boys,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,Barbara Ann,Spirit Of America,compilation,spotify:track:2KOt2JrCB720UxIbyzweQo,0.581,0.669,6.0,-3.659,0.0385,0.19,0.0,0.243,0.926,78.073,133893.0,67927073.0,2022-09-09 13:00:07,150,1975-04-14
1397,Journey,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,Separate Ways (Worlds Apart) [Bryce Miller/Alloy Tracks Remix],single,spotify:track:0muK9BAzu2TJXQgWPsEj6e,0.43,0.569,2.0,-9.274,0.044,0.0115,0.0134,0.163,0.0668,129.992,165075.0,45304438.0,2022-04-26 19:45:34,286,2022-04-12
1410,Gabry Ponte,https://open.spotify.com/artist/5ENS85nZShljwNgg4wFD7D,We Could Be Together,We Could Be Together (feat. Daddy DJ),single,spotify:track:3ElGRG3DqSzzkh1b2wnbzf,0.706,0.778,10.0,-4.491,0.0606,0.198,1.06e-05,0.0778,0.376,125.893,149643.0,50813268.0,2022-06-03 16:00:01,248,2022-06-03
1412,Gabry Ponte,https://open.spotify.com/artist/5ENS85nZShljwNgg4wFD7D,Call Me (with R3HAB & Timmy Trumpet),Call Me (with R3HAB & Timmy Trumpet),single,spotify:track:1dt220OBbkTsYz1NLVKIaw,0.398,0.956,2.0,-4.429,0.329,0.00935,0.0038,0.142,0.269,106.581,178310.0,48546790.0,2022-01-14 16:00:14,388,2022-01-14
